id,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime
1,5,54,35,D,U,Midlands,Midlands,Silver,1000.01,5
2,2,52,44,E,F,South East,London,Tin,0.01,9
3,9,60,18,C,M,South East,S & S East,Silver,3000.01,8
4,9,71,42,E,F,Midlands,Wales & West,Gold,6000,3
5,12,78,26,C,U,South East,London,Gold,6000,5
6,9,37,10,B,F,South East,London,Silver,3000,5
7,5,67,8,B,,Midlands,Midlands,Gold,6000,2
8,8,47,48,F,M,South East,London,Gold,6000,1
9,10,53,52,F,M,South East,London,Silver,720,9
10,12,55,1,A,F,South East,London,Gold,14800,28
11,8,44,4,A,F,North,N West,Gold,8000,3
12,11,37,35,D,F,Midlands,Midlands,Tin,0.01,4
13,12,70,6,B,F,South East,S & S East,Silver,4884.25,8
14,6,43,38,E,F,Scottish,N Scot,Gold,6000,2
15,8,45,38,E,,Midlands,East,Silver,0.02,5
16,8,63,33,D,F,Midlands,Wales & West,Platinum,20278.54,3
17,6,68,23,C,M,Midlands,Midlands,Silver,1000,1
18,13,33,25,C,M,Midlands,East,Silver,0.03,4
19,6,58,5,B,F,Scottish,Border,Gold,6000,4
20,10,52,10,B,F,North,Yorkshire,Gold,6000,1
21,13,68,44,E,F,South East,London,Gold,7500,6
22,11,49,53,F,M,Midlands,East,Tin,0.01,10
23,4,69,16,C,F,South East,London,Gold,9000,8
24,3,56,23,C,F,North,N East,Tin,0.01,8
25,8,69,8,B,U,Midlands,Wales & West,Tin,0.01,5
26,5,56,22,C,F,North,N West,Tin,0.01,8
27,7,53,51,F,F,Midlands,Wales & West,Gold,6000,2
28,3,NA,19,C,F,South East,S & S East,Gold,6053.35,7
29,12,65,51,F,F,South East,S & S East,Gold,6000,10
30,9,50,17,C,M,Scottish,C Scotland,Gold,12000,1
31,15,40,32,D,F,North,N West,Silver,360,9
32,9,51,14,B,F,South East,London,Silver,4800,4
33,11,42,31,D,F,South East,London,Tin,0.01,9
34,13,48,30,D,M,North,N West,Silver,3000,4
35,12,61,47,F,F,South East,London,Tin,0.01,4
36,10,54,52,F,F,Midlands,Midlands,Silver,100.01,5
37,8,48,NA,,M,Midlands,Ulster,Silver,2000,4
38,5,59,11,B,F,Scottish,Border,Silver,4000,4
39,NA,56,6,B,F,South East,S & S East,Silver,3000,1
40,10,51,4,A,F,South East,London,Silver,3000,8
41,NA,40,32,D,F,South East,London,Tin,0.01,4
42,NA,28,52,F,F,South East,London,Silver,5000,4
43,9,33,47,F,F,South East,London,Tin,0.01,5
44,10,49,52,F,U,,,Gold,6000,1
45,7,54,43,E,F,South West,S West,Silver,3000,10
46,4,61,17,C,M,North,N West,Gold,5000.01,8
47,NA,79,42,E,M,Midlands,Wales & West,Silver,1000,7
48,9,54,38,E,M,Scottish,Border,Silver,2100,7
49,6,NA,52,F,U,North,N West,Silver,480,5
50,10,46,8,B,M,Midlands,Midlands,Tin,0.01,5
51,6,35,37,E,M,Midlands,Midlands,Tin,0.01,4
52,8,47,32,D,M,South East,S & S East,Tin,0.01,5
